"run_id","profile","source","label","n_cells","n_genes","nnz","backend","export_repeat","order_position","status","read_secs","seurat_secs","export_secs","crb_mb","sibling_mb","total_mb","rss_mb","r_peak_mb","query_plan_fingerprint"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"embedded",1,1,"OK",14.3910772800446,2.12479138374329,97.0092017650604,527.943475723267,NA,527.943475723267,5380.06640625,5899,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"bpcells",1,2,"OK",14.3459310531616,2.12829542160034,6.49163436889648,1.57901096343994,332.89576625824,334.47477722168,6351.1640625,7028.8,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"h5",1,3,"OK",14.3703441619873,2.12797713279724,88.0272619724274,1.30908489227295,267.35024356842,268.659328460693,11282.19921875,11195.3,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"bpcells",2,1,"OK",14.3404142856598,2.12501358985901,6.47245812416077,1.57901096343994,332.89576625824,334.47477722168,6351.3359375,7028.8,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"h5",2,2,"OK",14.343647480011,2.12972187995911,87.9024517536163,1.30908489227295,267.35024356842,268.659328460693,11282.3125,11195.3,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"embedded",2,3,"OK",14.3475906848907,2.12631988525391,97.03768491745,527.943475723267,NA,527.943475723267,5380.14453125,5899,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"h5",3,1,"OK",14.3395228385925,2.12599539756775,88.0150265693665,1.30908489227295,267.35024356842,268.659328460693,11282.26171875,11195.3,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"embedded",3,2,"OK",14.3705949783325,2.13066530227661,97.033994436264,527.943475723267,NA,527.943475723267,5380.97265625,5899,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_hbcc","human PFC cross-disorder (HBCC)",50000,34176,210669643,"bpcells",3,3,"OK",14.3378236293793,2.12649750709534,6.47581934928894,1.57901096343994,332.89576625824,334.47477722168,6350.33984375,7028.8,"01292e4281dd567fc4c40e0783561416"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"embedded",1,1,"OK",12.8143365383148,1.91951823234558,84.1584112644196,459.057162284851,NA,459.057162284851,4785.33203125,5274,"c38cf5831b6225f7549b39a029303e71"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"bpcells",1,2,"OK",12.8101832866669,1.91474461555481,6.00030636787415,1.57732772827148,290.132575035095,291.709902763367,5618.2734375,6199.9,"c38cf5831b6225f7549b39a029303e71"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"h5",1,3,"OK",12.8237385749817,1.94953775405884,78.6004254817963,1.30627059936523,239.235644340515,240.54191493988,10024.796875,9948.2,"c38cf5831b6225f7549b39a029303e71"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"bpcells",2,1,"OK",12.9398019313812,1.92313122749329,6.01670408248901,1.57732772827148,290.132575035095,291.709902763367,5617.80859375,6199.9,"c38cf5831b6225f7549b39a029303e71"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"h5",2,2,"OK",12.932719707489,1.9203999042511,78.3684978485107,1.30627059936523,239.235644340515,240.54191493988,10025.7890625,9948.2,"c38cf5831b6225f7549b39a029303e71"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"embedded",2,3,"OK",12.9476437568665,1.91944265365601,84.1565079689026,459.057162284851,NA,459.057162284851,4785.12109375,5274,"c38cf5831b6225f7549b39a029303e71"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"h5",3,1,"OK",12.9774618148804,1.91828489303589,78.4577255249023,1.30627059936523,239.235644340515,240.54191493988,10025.3125,9948.2,"c38cf5831b6225f7549b39a029303e71"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"embedded",3,2,"OK",12.9474067687988,1.91824173927307,84.1555798053741,459.057162284851,NA,459.057162284851,4785.47265625,5274,"c38cf5831b6225f7549b39a029303e71"
"20260805T214336Z-02ff3f0a971e-publication","publication","human_pfc_mssm","human PFC cross-disorder (MSSM)",50000,34176,184818194,"bpcells",3,3,"OK",12.930766582489,1.92234587669373,6.00786256790161,1.5773286819458,290.132575035095,291.709903717041,5617.015625,6199.9,"c38cf5831b6225f7549b39a029303e71"
