"run_id","profile","source","n_cells","backend","export_repeat","order_position","access_repeat","status","load_secs","attach_secs","rss_mb","first_query_secs","hot_p50_secs","hot_p95_secs","block_prepare_secs","block_materialize_secs","block_ready_secs","n_hot","correctness","row_fingerprint","reference_row_fingerprint","block_fingerprint","reference_block_fingerprint","query_plan_fingerprint"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",50000,"embedded",2,3,1,"OK",3.32917857170105,0.0368056297302246,1443.94921875,0.183,0.155,0.16,0.168000000000001,0.00199999999999889,0.17,33,"OK","8efbf3cd5db5aecd46de961a4d5d3e09","8efbf3cd5db5aecd46de961a4d5d3e09","cc2e0064fd5dfb7d61771b70f80d0b94","cc2e0064fd5dfb7d61771b70f80d0b94","6f2c87109f18153312eb075a2d68303d"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",50000,"embedded",2,3,2,"OK",3.31834721565247,0.036691427230835,1444.0078125,0.176,0.155,0.1594,0.167999999999999,0.00300000000000011,0.170999999999999,33,"OK","8efbf3cd5db5aecd46de961a4d5d3e09","8efbf3cd5db5aecd46de961a4d5d3e09","cc2e0064fd5dfb7d61771b70f80d0b94","cc2e0064fd5dfb7d61771b70f80d0b94","6f2c87109f18153312eb075a2d68303d"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",50000,"h5",3,1,1,"OK",0.0279021263122559,2.34615182876587,529.125,0.0089999999999999,0.00499999999999989,0.00839999999999996,0.0289999999999999,0.0209999999999999,0.0499999999999998,33,"OK","8efbf3cd5db5aecd46de961a4d5d3e09","8efbf3cd5db5aecd46de961a4d5d3e09","cc2e0064fd5dfb7d61771b70f80d0b94","cc2e0064fd5dfb7d61771b70f80d0b94","6f2c87109f18153312eb075a2d68303d"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",50000,"h5",3,1,2,"OK",0.0278210639953613,2.37369465827942,528.91015625,0.0100000000000002,0.00499999999999989,0.00939999999999985,0.0289999999999999,0.0209999999999999,0.0499999999999998,33,"OK","8efbf3cd5db5aecd46de961a4d5d3e09","8efbf3cd5db5aecd46de961a4d5d3e09","cc2e0064fd5dfb7d61771b70f80d0b94","cc2e0064fd5dfb7d61771b70f80d0b94","6f2c87109f18153312eb075a2d68303d"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",50000,"embedded",3,2,1,"OK",3.32850098609924,0.0365254878997803,1444.04296875,0.184,0.155,0.1594,0.167,0.00300000000000011,0.17,33,"OK","8efbf3cd5db5aecd46de961a4d5d3e09","8efbf3cd5db5aecd46de961a4d5d3e09","cc2e0064fd5dfb7d61771b70f80d0b94","cc2e0064fd5dfb7d61771b70f80d0b94","6f2c87109f18153312eb075a2d68303d"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",50000,"embedded",3,2,2,"OK",3.32624435424805,0.0371983051300049,1443.91796875,0.159,0.156000000000001,0.16,0.167999999999999,0.00200000000000067,0.17,33,"OK","8efbf3cd5db5aecd46de961a4d5d3e09","8efbf3cd5db5aecd46de961a4d5d3e09","cc2e0064fd5dfb7d61771b70f80d0b94","cc2e0064fd5dfb7d61771b70f80d0b94","6f2c87109f18153312eb075a2d68303d"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",50000,"bpcells",3,3,1,"OK",0.0432264804840088,1.19304728507996,415.98828125,0.45,0.191,0.198400000000001,0.00500000000000078,0.202999999999999,0.208,33,"OK","8efbf3cd5db5aecd46de961a4d5d3e09","8efbf3cd5db5aecd46de961a4d5d3e09","cc2e0064fd5dfb7d61771b70f80d0b94","cc2e0064fd5dfb7d61771b70f80d0b94","6f2c87109f18153312eb075a2d68303d"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",50000,"bpcells",3,3,2,"OK",0.0442967414855957,1.19796705245972,415.9765625,0.429,0.19,0.197999999999999,0.00499999999999901,0.203000000000001,0.208,33,"OK","8efbf3cd5db5aecd46de961a4d5d3e09","8efbf3cd5db5aecd46de961a4d5d3e09","cc2e0064fd5dfb7d61771b70f80d0b94","cc2e0064fd5dfb7d61771b70f80d0b94","6f2c87109f18153312eb075a2d68303d"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",150000,"embedded",1,1,1,"OK",9.59241485595703,0.0364220142364502,3754.82421875,0.561999999999999,0.469000000000001,0.483399999999997,0.503,0.00600000000000023,0.509,33,"OK","d27e36971c6efc9106fcf11303c547cc","d27e36971c6efc9106fcf11303c547cc","8c6d66940fbfd93607772bdc552123b5","8c6d66940fbfd93607772bdc552123b5","bc93adb90dbba42bf71a039bb7f6a67c"
"20260805T214336Z-02ff3f0a971e-publication","publication","mouse_brain_e18",150000,"embedded",1,1,2,"OK",9.59046578407288,0.0364677906036377,3754.8515625,0.5,0.469999999999999,0.484000000000002,0.501999999999995,0.00600000000000023,0.507999999999996,33,"OK","d27e36971c6efc9106fcf11303c547cc","d27e36971c6efc9106fcf11303c547cc","8c6d66940fbfd93607772bdc552123b5","8c6d66940fbfd93607772bdc552123b5","bc93adb90dbba42bf71a039bb7f6a67c"
